submission_id,answer1,startDate,q3,experiment_id,answer8,trial_type,q9,answer9,answer12,answer4,answer10,q6,q5,q8,q4,endTime,answer2,q11,age,answer6,comments,education,q7,q12,languages,q1,gender,startTime,q2,timeSpent,answer3,answer5,q10,answer11
42,2,Fri Jul 06 2018 16:35:29 GMT+0200,How a photocopier makes copies,9,2,main,How the inflation rate is calculated,1,5,6,6,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530890002525,1,How trade agreements between countries work,22,5,,graduated_high_school,How undefine device works,What immigration policies in your country state,German,How piano keys make sounds,female,1530887729817,How an incinerator works,37.87846666666667,3,5,How Healthcare system in your country works,3
44,4,Fri Jul 06 2018 11:29:50 GMT-0500 (hora estándar de Colombia),How a photocopier makes copies,9,6,main,How the inflation rate is calculated,6,4,6,5,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530894719476,1,How trade agreements between countries work,46,2,,higher_degree,How a cellphone works,What immigration policies in your country declare,Spanish,How piano keys make sounds,female,1530894590853,How an incinerator works,2.1437166666666667,3,2,How Healthcare system in your country works,4
65,5,Thu Jul 12 2018 22:20:20 GMT+0200,How a photocopier makes copies,9,3,main,How the inflation rate is calculated,2,2,3,5,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1531426952651,2,How trade agreements between countries work,22,4,,graduated_high_school,How a cellphone works,What immigration policies in your country declare,German,How piano keys make sounds,female,1531426820246,How an incinerator works,2.20675,3,3,How Healthcare system in your country works,3
36,1,Fri Jul 06 2018 16:02:54 GMT+0200 (Hora de ver. Europa Occidental),How a photocopier makes copies,9,5,main,How the inflation rate is calculated,4,5,3,5,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530885795805,2,How trade agreements between countries work,,3,,,How undefine device works,What immigration policies in your country state,,How piano keys make sounds,,1530885774562,How an incinerator works,0.35405,4,4,How Healthcare system in your country works,4
37,6,Fri Jul 06 2018 09:04:09 GMT-0500 (Colombia Standard Time),How a photocopier makes copies,9,3,main,How the inflation rate is calculated,5,3,3,6,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530885948732,2,How trade agreements between countries work,24,3,,higher_degree,How undefine device works,What immigration policies in your country state,Spanish ,How piano keys make sounds,female,1530885849966,How an incinerator works,1.6461,3,4,How Healthcare system in your country works,4
38,6,Fri Jul 06 2018 08:52:52 GMT-0500 (hora estándar de Colombia),How a photocopier makes copies,9,5,main,How the inflation rate is calculated,5,5,5,6,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530886231378,3,How trade agreements between countries work,25,3,,graduated_college,How undefine device works,What immigration policies in your country state,Spanish,How piano keys make sounds,male,1530885172575,How an incinerator works,17.646716666666666,3,6,How Healthcare system in your country works,3
40,1,Fri Jul 06 2018 09:23:28 GMT-0500 (Colombia Standard Time),How a photocopier makes copies,9,1,main,How the inflation rate is calculated,1,1,1,1,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530887174291,1,How trade agreements between countries work,24,1,,graduated_college,How undefine device works,What immigration policies in your country state,Español,How piano keys make sounds,male,1530887008367,How an incinerator works,2.7654,1,1,How Healthcare system in your country works,1
41,3,Fri Jul 06 2018 10:02:00 GMT-0500 (Colombia Standard Time),How a photocopier makes copies,9,4,main,How the inflation rate is calculated,2,4,2,5,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530889398681,2,How trade agreements between countries work,26,1,,graduated_college,How undefine device works,What immigration policies in your country state,Spanish,How piano keys make sounds,female,1530889320648,How an incinerator works,1.30055,2,1,How Healthcare system in your country works,2
43,4,Fri Jul 06 2018 13:24:17 GMT-0300 (Horário Padrão de Brasília),How a photocopier makes copies,9,4,main,How the inflation rate is calculated,3,4,7,4,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530894360225,7,How trade agreements between countries work,22,5,,graduated_college,How a cellphone works,What immigration policies in your country declare,Spanish,How piano keys make sounds,male,1530894257312,How an incinerator works,1.7152166666666666,6,5,How Healthcare system in your country works,5
47,1,Sat Jul 07 2018 10:14:40 GMT+0200 (hora de verano de Europa central),How a photocopier makes copies,9,5,main,How the inflation rate is calculated,2,6,1,6,How WiFi connection works,How the internet works,How online privacy policies work,How a zipper works,1530951471640,2,How trade agreements between countries work,25,2,,graduated_college,How a cellphone works,What immigration policies in your country declare,Catalan and Spanish,How piano keys make sounds,female,1530951280896,How an incinerator works,3.1790666666666665,2,6,How Healthcare system in your country works,4
